DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
2/21/2008,WEST,186,138,129,165,214,294,277,191,182,193,244,246,276,203,129,129,158,204,219,205,196,173,181,119,
2/22/2008,WEST,95,49,31,31,42,80,107,129,183,237,171,118,60,106,58,45,34,71,136,140,153,157,102,90,
2/23/2008,WEST,39,38,39,43,42,44,43,34,26,9,2,4,2,5,4,5,3,-1,0,-1,1,1,0,2,
2/24/2008,WEST,9,11,37,69,61,22,16,30,29,33,17,9,8,18,54,66,80,74,107,159,277,355,428,425,
2/25/2008,WEST,375,358,386,317,273,222,176,179,157,198,148,97,25,111,119,158,202,298,348,162,34,71,68,91,
2/26/2008,WEST,150,171,363,446,539,580,627,653,673,649,623,677,649,630,683,689,679,688,653,587,537,481,426,413,
2/27/2008,WEST,375,310,327,366,359,336,361,378,361,285,191,157,211,304,371,360,321,265,247,260,257,244,304,286,
2/28/2008,WEST,225,185,131,75,35,30,30,36,36,40,54,66,66,102,164,157,178,175,207,329,422,518,598,636,
2/29/2008,WEST,631,596,580,535,452,428,373,405,410,404,400,419,488,527,551,645,673,695,702,683,678,670,646,653,
3/1/2008,WEST,663,678,561,483,408,324,225,137,85,76,76,68,62,71,101,205,381,529,563,634,670,676,670,663,
3/2/2008,WEST,654,656,656,648,636,617,604,611,593,581,573,555,560,574,612,615,607,630,513,491,502,521,517,443,
3/3/2008,WEST,284,244,275,400,478,461,325,231,224,380,336,313,324,316,314,340,330,315,337,368,405,335,311,300,
3/4/2008,WEST,279,259,345,411,434,385,397,382,369,406,425,453,509,508,499,478,463,456,469,425,337,291,274,175,
3/5/2008,WEST,135,191,160,133,158,98,90,68,59,66,73,86,78,88,69,54,42,32,25,53,76,99,114,158,
3/6/2008,WEST,210,270,306,294,314,294,244,139,127,185,171,92,47,37,33,15,5,10,40,75,57,62,103,81,
3/7/2008,WEST,84,84,128,226,334,392,436,513,525,559,592,533,576,562,551,583,564,542,521,506,526,509,481,442,
3/8/2008,WEST,427,412,454,456,439,422,378,352,283,235,194,165,142,139,124,104,72,48,45,50,57,67,80,90,
3/9/2008,WEST,90,124,0,183,197,205,240,267,268,228,150,145,165,211,125,91,89,83,81,92,121,105,104,79,
3/10/2008,WEST,97,175,147,148,125,118,99,87,100,149,133,119,84,115,125,193,187,87,60,78,48,34,28,30,
3/11/2008,WEST,35,50,59,46,43,72,153,297,395,399,301,369,413,456,515,560,593,611,528,495,537,556,513,485,
3/12/2008,WEST,466,355,325,286,206,162,142,189,210,236,206,175,228,286,337,328,387,455,485,579,631,625,605,537,
3/13/2008,WEST,520,577,601,565,580,568,568,573,534,438,275,165,155,110,149,222,293,297,210,190,248,167,142,162,
3/14/2008,WEST,162,36,17,57,124,111,101,95,117,135,73,30,17,25,47,46,49,29,33,35,66,91,168,221,
3/15/2008,WEST,260,324,245,298,348,391,362,332,297,236,218,235,278,279,216,196,219,208,185,153,114,110,91,81,
3/16/2008,WEST,74,97,132,127,161,141,169,146,129,101,165,205,181,170,163,164,139,108,86,108,206,356,441,424,
3/17/2008,WEST,397,274,189,196,283,334,367,421,461,491,526,506,575,584,508,486,501,566,563,471,499,546,549,544,
3/18/2008,WEST,538,491,503,466,400,343,311,313,270,246,217,224,226,152,150,261,120,99,129,194,177,334,485,542,
3/19/2008,WEST,459,465,476,447,393,425,574,588,557,515,454,412,487,580,560,596,605,583,556,478,436,496,551,613,
3/20/2008,WEST,569,522,472,418,388,330,201,163,106,87,76,75,79,93,101,101,100,103,123,167,247,359,454,493,
3/21/2008,WEST,522,562,600,670,687,684,681,703,709,701,694,638,544,464,432,488,496,428,348,174,268,387,347,343,
3/22/2008,WEST,440,461,480,438,437,423,396,349,336,372,327,310,285,226,133,83,120,61,54,57,48,42,34,51,
3/23/2008,WEST,62,26,26,13,7,9,9,18,13,5,10,36,33,52,99,126,160,131,146,135,102,117,76,89,
3/24/2008,WEST,134,136,137,122,93,68,39,22,0,-3,-4,-2,3,31,86,129,164,214,248,305,441,599,653,649,
3/25/2008,WEST,664,663,660,664,668,657,662,668,665,662,653,665,665,674,675,693,700,694,694,658,610,494,470,513,
