DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,
1/1/2011,WEST,2035,1755,1899,2043,2099,1983,2115,1933,2089,2316,2563,2693,2834,2813,2776,2794,2722,2661,2488,2232,2030,1635,1470,1715,
1/2/2011,WEST,1644,1529,1228,980,913,854,806,743,761,797,738,936,1297,1483,1449,1541,1589,1574,1781,2013,2199,2279,2366,2419,
1/3/2011,WEST,2493,2409,2441,2459,2464,2404,2188,1997,1811,1609,1211,957,889,1100,1145,997,906,699,831,1029,1141,1272,1337,1500,
1/4/2011,WEST,1586,1605,1571,1491,1485,1583,1779,2067,2167,2288,2474,2234,2082,2143,2208,1966,1593,1185,957,917,917,764,679,562,
1/5/2011,WEST,499,460,430,421,435,430,598,767,870,713,546,544,580,535,540,623,631,590,715,853,933,976,1044,898,
1/6/2011,WEST,1020,1034,795,738,947,1108,1439,1544,1457,1471,1388,1807,1834,1758,1767,1820,1852,1733,1520,1736,1746,1426,1282,1186,
1/7/2011,WEST,994,758,556,506,468,365,346,309,310,345,625,827,1029,1462,1792,2072,2121,1971,1925,2054,2100,1911,1925,1967,
1/8/2011,WEST,1932,2216,2456,2568,2548,2653,2499,2280,2207,2223,2418,2574,2429,2378,2279,2116,1953,1716,1761,1763,1724,1774,1689,1522,
1/9/2011,WEST,1352,1173,1001,865,727,638,514,417,403,373,356,344,314,312,327,326,298,357,402,407,426,443,522,517,
1/10/2011,WEST,593,684,674,522,587,578,562,665,839,769,555,663,758,861,898,964,962,865,981,1123,1319,1503,1589,1336,
1/11/2011,WEST,1083,943,888,698,538,564,589,492,359,245,202,146,164,258,456,715,1045,1373,1827,2125,2216,2447,2536,2486,
1/12/2011,WEST,2416,2446,2336,2165,2441,2325,2371,2439,2457,2447,2364,2235,2193,2235,2302,2131,2064,1998,1943,1823,1652,1533,1470,1509,
1/13/2011,WEST,1330,1161,907,777,745,652,573,548,564,480,421,362,392,454,480,471,442,458,636,781,870,989,960,878,
1/14/2011,WEST,747,787,844,814,803,797,848,867,780,609,431,230,152,170,113,76,108,140,154,233,380,443,560,797,
1/15/2011,WEST,821,1065,1622,2074,2386,2517,2369,2308,2170,2223,2135,1909,1824,1610,1500,1449,1343,1183,1002,966,1098,1158,1094,1060,
1/16/2011,WEST,1053,1134,827,659,478,398,340,229,153,165,73,38,42,56,54,53,37,24,90,72,146,252,337,449,
1/17/2011,WEST,789,895,982,1021,1000,1073,1174,1392,1617,1936,2098,2200,2198,2175,2085,1981,2069,2026,1986,1995,1959,1767,1450,1290,
