DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
1/1/2010,RFC,1436.0,1385.3,1324.3,1258.0,1273.7,1357.9,1336.1,1238.9,1173.0,1057.9,781.6,600.7,690.0,759.2,904.3,1043.7,1223.4,1568.5,1753.1,2014.9,2155.9,2252.6,2364.2,2288.1
1/2/2010,RFC,2239.0,2241.9,2191.6,2187.0,2212.0,2171.7,2105.5,2114.1,1873.6,1490.7,1178.3,1061.4,1146.7,1218.0,1320.9,1354.3,1499.1,1531.1,1531.7,1639.4,1731.6,1537.4,1348.1,1272.8
1/3/2010,RFC,1489.5,1668.3,1668.8,1562.7,1461.3,1403.5,1355.4,1362.3,1397.7,1300.6,1163.8,1102.6,1013.5,991.5,1056.9,1126.2,1241.8,1346.3,1502.9,1667.5,1862.1,2001.9,1982.6,1883.8
1/4/2010,RFC,1762.2,1616.8,1622.2,1665.3,1687.8,1682.5,1650.6,1700.3,1731.6,1645.5,1463.3,1322.5,1273.4,1309.8,1425.4,1617.1,1753.4,1814.2,1867.3,1886.8,1893.4,1879.3,1722.6,1666.5
1/5/2010,RFC,1658.5,1662.2,1609.4,1555.6,1548.8,1575.5,1523.2,1495.6,1472.4,1339.7,1142.8,1024.6,989.9,1012.3,1087.6,1160.3,1227.2,1366.8,1522.7,1681.3,1636.3,1566.9,1505.0,1471.3
1/6/2010,RFC,1413.9,1412.0,1262.8,1152.2,1039.1,1005.9,906.6,838.3,723.1,614.0,586.7,592.8,664.6,712.4,690.8,655.0,683.7,652.1,634.1,585.5,522.1,479.4,430.0,406.8
1/7/2010,RFC,376.1,368.4,342.8,331.6,370.4,357.3,394.1,356.9,339.3,293.6,354.4,431.0,461.7,674.2,1017.3,1279.5,1347.0,1277.7,1173.8,1182.0,1270.7,1360.5,1436.0,1508.2
1/8/2010,RFC,1582.1,1572.8,1518.4,1519.7,1644.4,1683.7,1627.0,1673.6,1859.6,1795.4,1781.1,1846.3,1788.1,1789.4,1640.1,1548.3,1561.6,1516.9,1450.5,1514.9,1516.3,1498.4,1483.0,1446.6
1/9/2010,RFC,1324.3,1356.5,1404.7,1398.5,1358.5,1233.1,1155.5,1111.1,1106.1,1115.9,1087.7,902.5,678.1,610.7,620.3,750.4,798.4,894.8,1133.0,1311.0,1344.1,1330.0,1349.9,1217.7
1/10/2010,RFC,1069.1,861.0,794.8,785.7,788.7,948.9,1153.3,1020.8,934.7,1079.8,1144.5,1212.0,1076.9,1037.6,1161.9,1427.8,1805.2,2179.0,2465.0,2650.4,2699.7,2744.6,2741.6,2620.6
1/11/2010,RFC,2531.0,2389.7,2226.7,2013.3,1851.1,1665.8,1572.8,1431.8,1363.1,1364.0,1215.9,1166.4,1086.9,929.4,890.9,1034.2,1110.1,1105.2,1243.5,1516.4,1562.0,1430.6,1350.6,1430.7
1/12/2010,RFC,1471.3,1385.4,1249.5,1057.8,986.4,811.4,737.1,632.4,554.3,383.6,339.8,398.4,449.0,534.0,566.0,583.0,619.1,749.5,898.1,1060.4,1320.5,1708.4,1943.3,2011.9
1/13/2010,RFC,2051.1,2160.7,2167.7,2295.1,2394.4,2454.5,2447.8,2401.2,2435.6,2468.1,2349.6,2285.4,2188.9,1979.6,1810.2,1780.9,1939.8,2169.6,2441.6,2644.5,2683.6,2691.4,2687.4,2671.0
1/14/2010,RFC,2641.5,2647.6,2627.9,2615.8,2510.4,2488.8,2387.8,2206.3,2050.1,1920.8,1913.1,1698.0,1612.4,1376.9,1299.2,1382.8,1243.0,1197.2,1340.3,1444.9,1667.3,1657.8,1422.5,1144.3
1/15/2010,RFC,962.4,878.0,798.0,703.0,672.3,699.7,647.8,630.9,625.6,619.7,612.3,596.4,501.3,476.1,471.6,538.9,539.6,525.0,574.4,606.8,616.2,570.9,493.8,512.0
1/16/2010,RFC,515.9,515.2,466.3,466.1,517.4,558.2,511.1,520.3,466.7,471.9,376.4,379.0,371.0,320.7,278.0,205.9,122.2,124.7,170.0,205.5,174.0,116.2,97.6,84.2
1/17/2010,RFC,103.2,169.4,257.2,277.2,322.1,334.5,371.0,409.7,461.4,533.1,654.7,675.6,582.0,557.6,503.7,503.3,445.3,387.6,342.9,269.1,206.5,173.6,164.9,173.8
1/18/2010,RFC,165.7,237.8,221.7,183.7,141.1,134.1,220.7,307.0,395.2,440.5,534.5,572.1,557.0,494.5,419.4,382.0,320.6,302.4,363.8,396.3,376.4,343.1,316.9,296.1
1/19/2010,RFC,302.4,367.5,379.1,428.0,438.3,379.4,334.2,305.8,219.2,269.3,315.5,323.1,308.6,295.0,262.8,236.2,219.0,244.4,243.0,217.2,225.5,255.2,343.9,503.2
1/20/2010,RFC,502.6,581.7,726.4,860.8,1110.2,1459.0,1466.9,1441.1,1518.6,1566.4,1747.2,1845.2,1848.5,1824.1,1781.6,1781.9,1824.5,1591.9,1474.8,1438.8,1456.9,1516.1,1545.2,1542.1
1/21/2010,RFC,1507.0,1515.1,1428.5,1281.3,1326.5,1345.4,1423.9,1447.3,1457.3,1394.0,1342.8,1210.6,1228.9,1364.7,1529.1,1586.1,1475.4,1377.6,1437.8,1496.6,1439.0,1344.0,1054.5,799.9
1/22/2010,RFC,819.1,882.2,808.4,635.1,592.8,553.7,537.1,420.8,423.7,327.8,183.4,128.2,88.0,61.0,60.8,65.7,153.5,288.0,518.2,614.0,820.0,812.8,849.0,877.5
1/23/2010,RFC,925.7,918.6,970.5,990.8,1012.6,1083.4,1258.5,1513.7,1563.7,1388.0,1611.2,1906.3,1847.9,1926.6,1993.7,1997.2,2118.0,2286.7,2361.6,2113.9,2052.5,2218.1,2388.0,2493.5
1/24/2010,RFC,2285.8,2297.9,2299.9,2465.2,2586.2,2631.1,2635.4,2627.5,2631.2,2710.1,2712.2,2515.0,2359.8,2319.1,2266.2,2226.7,2231.5,2063.4,1998.4,2136.6,2148.8,2083.5,2136.7,2068.6
1/25/2010,RFC,1824.4,1656.6,1381.2,1296.3,1254.8,1284.9,1295.2,1449.9,1731.8,1818.4,2251.1,2332.6,2469.0,2688.4,2849.5,2775.9,2812.1,2824.0,2863.7,2773.9,2698.4,2715.5,2690.7,2634.8
1/26/2010,RFC,2565.0,2387.9,2398.4,2508.5,2486.7,2407.6,2503.7,2473.5,2404.8,2398.6,2343.8,2348.3,2394.0,2383.2,2241.8,2240.3,2426.0,2458.5,2246.8,2201.3,2239.6,2237.3,2039.1,1883.3
1/27/2010,RFC,1819.0,1914.0,1842.9,1728.0,1659.2,1381.0,1223.9,1108.3,1058.1,1040.0,1041.5,973.4,980.0,933.7,1013.6,1271.4,1415.1,1396.2,1300.5,1430.5,1602.6,1812.9,2065.2,2373.3
1/28/2010,RFC,2583.4,2685.4,2658.9,2635.5,2564.4,2593.2,2661.4,2567.5,2464.8,2313.4,2207.1,1959.2,1727.4,1617.3,1517.1,1317.7,1209.3,1102.5,1024.5,1086.2,1184.0,1131.4,1102.5,993.3
1/29/2010,RFC,962.2,920.1,811.9,619.4,503.9,410.9,402.8,350.9,457.2,449.9,357.9,373.6,460.3,520.9,602.8,643.3,594.1,555.8,513.1,512.6,675.5,952.3,874.7,771.9
1/30/2010,RFC,803.0,940.9,1056.6,951.4,939.1,987.8,1012.8,1164.1,1209.0,1036.5,840.6,704.6,400.2,193.0,129.6,126.8,69.4,47.0,67.9,92.4,111.7,118.4,125.6,221.5
1/31/2010,RFC,358.2,430.9,501.6,582.4,708.2,776.9,847.7,866.7,833.4,706.6,586.1,666.2,665.3,799.8,883.2,921.3,923.6,782.8,822.7,876.3,881.4,902.9,924.0,908.3
2/1/2010,RFC,863.9,866.7,873.8,853.8,727.6,649.9,480.0,414.8,338.3,269.2,158.7,172.5,204.9,244.9,298.3,319.0,343.4,339.2,365.3,509.7,593.5,617.8,693.8,505.1
2/2/2010,RFC,377.3,323.5,342.8,356.7,395.5,324.0,328.1,335.4,335.6,353.7,311.0,253.6,247.2,317.5,484.1,636.1,716.2,787.2,970.7,1230.6,1241.0,1158.7,1150.0,1130.4
2/3/2010,RFC,983.1,1001.6,968.7,761.5,756.9,768.9,690.5,611.2,619.0,594.4,532.8,581.2,585.8,600.3,594.4,586.1,592.4,586.3,615.2,683.7,711.2,726.2,761.6,835.2
2/4/2010,RFC,947.6,1048.4,1057.8,981.6,1004.8,861.6,735.2,796.2,799.3,771.3,614.6,507.2,372.2,236.6,202.2,229.3,347.6,463.8,722.5,856.9,1038.2,1039.7,1039.5,954.8
2/5/2010,RFC,918.4,964.3,880.2,847.7,905.4,1117.0,1373.8,1459.2,1561.4,1625.2,1807.7,1861.7,1802.6,2034.3,2286.1,2375.8,2459.6,2697.4,2788.3,2869.7,2883.2,2842.5,2827.6,2732.3
2/6/2010,RFC,2742.5,2710.4,2726.3,2676.6,2639.0,2560.7,2503.9,2448.2,2463.8,2439.5,2377.0,2176.1,1962.2,1707.3,1503.9,1288.5,1193.0,1243.3,1298.2,1153.8,1115.0,1007.8,830.6,673.7
