DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
1/29/2008,RFC,682.545,711.72,732.546,743.002,766.821,704.093,660.637,690.435,712.289,687.771,660.462,648.819,641.643,657.852,711.111,641.823,516.227,493.577,470.709,453.257,356.232,326.036,335.165,350.049
1/30/2008,RFC,407.622,466.683,555.77,567.809,569.216,520.075,506.923,500.53,535.264,499.376,454.645,374.569,358.27,444.547,422.378,313.145,270.733,253.672,246.84,249.081,246.485,236.911,235.072,233.925
1/31/2008,RFC,209.803,201.503,211.301,192.457,194.658,221.26,219.678,236.52,240.557,320.339,428.971,398.449,416.659,458.018,513.785,524.495,608.097,660.746,713.375,701.47,665.058,690.234,693.765,702.76
2/1/2008,RFC,746.368,770.004,740.125,640.266,545.602,493.569,576.738,586.087,611.063,618.439,584.663,498.028,407.062,361.958,307.306,235.356,193.027,138.931,140.193,117.237,123.022,185.55,238.499,267.714
2/2/2008,RFC,280.016,280.779,344.805,335.824,422.269,495.07,479.409,497.433,472.546,468.5,496.372,436.984,333.824,232.672,130.959,96.639,55.331,64.028,63.042,77.196,87.852,112.297,143.956,137.729
2/3/2008,RFC,139.17,148.755,111.214,100.858,90.776,95.702,80.95,75.098,74.734,84.586,69.15,65.252,83.652,116.876,202.673,239.298,355.665,380.035,466.796,500.242,444.569,438.019,427.766,387.84
2/4/2008,RFC,319.97,259.939,259.427,199.37,220.12,249.968,272.699,293.547,374.675,575.425,608.561,571.226,522.676,551.257,599.623,617.101,623.048,634.767,576.246,484.247,510.016,395.983,478.568,505.153
2/5/2008,RFC,379.493,358.288,400.406,364.448,515.752,497.341,415.132,493.922,474.438,376.076,355.524,373.345,313.145,297.222,434.874,595.873,650.247,564.595,508.078,520.977,524.499,512.421,516.67,501.215
2/6/2008,RFC,391.276,463.754,460.62,639.17,624.22,559.125,481.252,375.422,525.724,513.216,335.184,420.987,536.27,572.034,526.724,565.504,628.03,651.689,650.049,693.016,711.596,691.483,632.617,587.525
2/7/2008,RFC,569.18,534.592,489.282,426.965,361.413,285.271,234.39,227.696,228.729,228,239.369,269.525,255.986,223.155,188.525,143.138,126.822,92.088,70.481,48.303,42.255,55.8,57.226,70.92
2/8/2008,RFC,112.133,160.717,165.376,176.365,177.502,235.3,235.502,234.229,223.034,219.233,163.641,103.027,146.231,242.939,303.566,392.083,476.859,469.166,477.815,559.324,558.828,549.908,543.1,541.397
2/9/2008,RFC,459.396,418.666,438.871,419.142,520.776,533.795,523.269,485.509,392.484,337.276,341.376,369.649,404.63,356.379,385.706,568.798,692.589,773.798,810.002,825.59,807.693,808.989,810.247,788.655
2/10/2008,RFC,791.504,786.069,834.545,845.381,825.519,777.647,779.291,788.945,810.034,812.865,817.492,803.93,785.612,782.144,756.381,733.986,750.561,741.352,681.446,634.735,560.329,466.328,460.067,433.574
2/11/2008,RFC,399.347,340.521,271.754,203.1,199.673,200.839,202.803,205.419,212.687,207.608,173.622,152.771,147.674,144.682,174.778,247.595,300.413,270.657,329.208,379.481,372.545,368.276,330.487,287.754
