DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
1/1/2009,RFC,446.8,610.5,646.0,748.4,880.3,921.9,887.6,908.9,968.9,905.4,896.2,887.1,888.6,833.8,781.7,635.9,544.8,470.4,611.9,664.7,667.9,751.5,781.5,752.2
1/2/2009,RFC,775.6,782.3,772.8,749.6,820.1,914.9,870.7,767.1,593.4,536.3,514.8,481.4,447.6,417.6,379.4,340.8,323.9,339.4,355.6,375.4,480.3,561.0,541.1,554.0
1/3/2009,RFC,676.2,748.4,890.2,956.7,1037.3,1069.8,1158.1,1094.4,981.6,898.2,866.1,875.0,859.1,889.8,859.2,856.2,879.9,868.4,899.4,907.2,829.9,775.1,752.2,775.3
1/4/2009,RFC,794.4,693.1,541.6,457.2,453.7,586.0,722.0,845.0,880.3,853.5,855.7,842.5,894.1,931.3,979.6,965.7,936.6,977.8,944.7,867.4,771.0,674.9,637.5,652.2
1/5/2009,RFC,745.5,792.1,745.4,762.3,681.2,557.4,428.3,351.6,315.8,260.2,187.4,176.2,190.8,170.0,155.5,142.8,155.6,130.8,198.5,229.4,212.0,211.5,245.7,366.1
1/6/2009,RFC,460.5,514.4,529.3,495.9,424.8,402.3,292.3,232.4,233.9,262.4,232.7,218.7,192.5,186.7,155.0,115.4,73.1,76.9,74.4,60.1,56.2,40.9,43.9,67.7
1/7/2009,RFC,66.8,61.9,79.3,76.2,81.0,94.5,119.8,184.2,317.5,478.8,655.7,938.2,1027.2,994.6,1093.7,1120.6,1072.6,894.4,836.0,840.4,934.4,1085.9,1012.5,952.9
1/8/2009,RFC,987.4,920.8,858.0,832.1,856.6,787.3,849.3,851.9,879.2,869.7,827.8,698.6,679.1,734.0,659.1,552.9,545.5,575.8,565.2,571.0,559.7,500.3,492.5,472.0
1/9/2009,RFC,445.3,441.2,425.2,457.8,529.0,579.5,715.7,907.0,1042.4,1110.2,988.8,832.5,766.6,652.7,532.0,504.0,409.9,408.5,455.2,426.2,448.0,544.4,565.6,536.5
1/10/2009,RFC,615.1,641.6,686.3,765.1,799.3,697.4,676.2,587.5,586.2,595.7,715.4,755.9,729.2,686.0,609.5,601.9,566.6,387.2,269.3,395.6,479.8,397.1,319.3,245.0
1/11/2009,RFC,210.6,265.9,317.2,269.3,255.2,216.3,203.0,188.7,165.0,133.5,129.0,139.5,101.2,86.5,98.1,115.6,183.9,187.1,278.9,326.1,454.2,481.1,406.3,398.6
