DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24,,,
2/19/2009,WEST,1106,1073,1069,1075,1029,1057,1001,918,854,943,942,895,842,843,854,876,918,916,838,752,715,703,725,723,,,
2/20/2009,WEST,665,571,483,392,328,250,216,210,201,173,159,178,194,178,192,205,234,246,274,372,554,632,694,704,,,
2/21/2009,WEST,752,742,657,469,523,465,543,688,766,823,853,851,874,891,928,957,961,998,1039,1055,1051,1046,1006,899,,,
2/22/2009,WEST,820,764,768,791,772,750,684,653,636,588,510,463,535,784,826,736,712,751,700,658,636,568,589,604,,,
2/23/2009,WEST,551,466,416,424,402,365,345,339,310,261,250,261,273,262,266,263,258,257,281,298,297,297,336,383,,,
2/24/2009,WEST,458,496,549,544,579,556,589,548,521,440,575,639,622,560,515,491,489,492,541,621,665,708,772,780,,,
2/25/2009,WEST,719,735,767,742,772,721,621,581,556,634,631,561,593,572,662,601,486,310,219,184,174,190,189,248,,,
2/26/2009,WEST,330,422,437,479,495,506,566,742,811,756,629,686,760,770,723,576,519,732,719,710,592,531,748,870,,,
2/27/2009,WEST,931,938,909,943,922,917,911,914,882,850,791,534,379,300,342,289,300,383,631,878,895,856,842,669,,,
2/28/2009,WEST,712,769,686,649,648,614,484,399,484,596,614,563,508,450,448,450,519,613,648,699,660,586,491,402,,,
3/1/2009,WEST,338,401,465,551,580,599,568,655,694,681,639,627,635,649,645,686,641,652,711,641,580,599,674,679,,,
3/2/2009,WEST,646,655,643,621,600,573,546,530,474,442,516,481,433,471,485,479,471,490,496,486,524,533,494,417,,,
3/3/2009,WEST,303,310,309,305,331,303,289,302,266,218,245,294,254,298,295,334,349,363,350,359,386,437,426,445,,,
3/4/2009,WEST,534,429,413,437,486,561,599,578,480,470,493,431,360,317,312,344,389,448,610,761,839,883,876,851,,,
3/5/2009,WEST,884,896,894,890,878,873,906,875,893,857,859,854,854,852,865,879,893,888,924,966,996,997,958,947,,,
3/6/2009,WEST,896,961,1074,1037,965,1000,896,794,693,452,305,211,189,196,188,143,190,237,329,415,396,437,499,560,,,
3/7/2009,WEST,612,658,758,623,604,546,409,507,450,426,668,703,438,198,369,498,526,566,438,414,527,541,633,674,,,
3/8/2009,WEST,907,821,,808,626,680,653,596,513,566,627,777,796,650,438,485,493,628,790,799,774,772,708,714,,,
3/9/2009,WEST,700,658,545,430,411,357,338,308,368,370,372,418,424,474,515,562,535,481,436,377,528,547,627,676,,,
3/10/2009,WEST,550,503,405,580,629,580,426,395,406,440,367,439,510,684,811,777,789,728,670,652,894,955,1002,1007,,,
3/11/2009,WEST,1189,1162,1165,1201,1254,1268,1276,1266,1264,1178,1025,926,914,935,950,1053,1125,1160,1174,1138,1105,1077,1137,1096,,,
3/12/2009,WEST,1032,864,691,567,514,485,443,449,458,391,247,163,123,108,48,11,7,52,65,50,39,59,66,87,,,
3/13/2009,WEST,107,115,133,123,90,80,89,78,123,76,88,83,63,44,38,30,26,10,4,4,12,8,3,6,,,
3/14/2009,WEST,9,15,45,77,82,53,31,24,38,53,60,60,72,75,81,52,32,49,40,35,55,89,167,187,,,
3/15/2009,WEST,269,242,250,281,246,172,113,52,36,13,12,13,52,92,80,46,51,64,101,123,181,244,316,415,,,
3/16/2009,WEST,531,470,450,353,260,160,88,39,22,12,14,30,21,8,17,33,35,53,48,39,59,104,228,315,,,
3/17/2009,WEST,348,400,549,640,725,779,811,831,888,825,611,643,820,956,996,1049,1065,1059,1049,979,1025,1082,1097,998,,,
3/18/2009,WEST,873,886,910,846,771,869,764,606,499,300,262,382,420,432,484,682,586,575,495,293,301,235,478,612,,,
3/19/2009,WEST,726,798,829,853,860,813,738,624,568,526,445,319,286,321,459,611,775,811,755,629,577,600,552,490,,,
3/20/2009,WEST,413,372,324,284,249,244,194,188,182,160,153,155,160,100,86,98,110,100,100,127,206,336,396,368,,,
3/21/2009,WEST,201,136,176,276,314,327,471,420,381,344,346,374,306,182,101,62,43,44,46,58,120,237,350,387,,,
3/22/2009,WEST,380,398,429,337,302,304,261,245,199,221,172,153,325,373,370,384,427,442,459,420,564,596,679,759,,,
3/23/2009,WEST,901,972,971,953,966,956,920,975,1008,987,1003,1008,1035,1058,1074,1119,1167,1204,1203,1205,1212,1208,980,969,,,
3/24/2009,WEST,1052,1158,1185,1181,1174,1186,1159,1149,1171,1178,1183,1165,1154,1126,1026,896,1017,1111,1111,1088,1085,1117,1128,1092,,,
3/25/2009,WEST,875,749,569,391,343,407,386,411,480,421,643,820,828,876,879,852,900,796,662,443,208,153,144,111,,,
