Week Ended,"Central Appalachia 12,500 Btu, 1.2 SO2","Northern Apppalachia 13,000 Btu, <3.0 SO2","Illinois Basin 11,800 Btu, 5.0 SO2","Powder River Basin 8,800 Btu, 0.8 SO2","Uinta Basin 11,700 Btu, 0.8 SO2"
2015-10-30,49.0,52.0,32.75,11.55,40.55
2015-10-23,49.0,52.0,32.75,11.55,40.55
2015-10-16,49.0,52.0,32.75,11.55,40.55
2015-10-09,48.15,51.1,32.75,11.55,40.05
2015-10-02,48.15,51.1,32.75,12.1,40.05
2015-09-25,48.65,51.95,34.35,11.55,39.7
2015-09-18,48.65,51.95,34.35,11.55,39.7
2015-09-11,48.6,51.9,34.35,11.55,39.75
2015-09-04,48.6,51.9,34.35,11.55,39.75
2015-08-28,48.6,51.9,34.35,11.55,39.75
2015-08-21,48.6,51.9,34.35,11.55,39.75
2015-08-14,49.95,52.25,34.35,11.55,39.55
2015-08-07,49.95,52.25,34.35,11.55,39.55
2015-07-31,49.95,52.25,34.35,11.55,39.55
2015-07-24,49.95,52.25,34.35,11.55,39.55
2015-07-17,54.9,53.2,34.35,11.55,39.35
2015-07-10,54.9,53.2,34.35,11.55,39.35
2015-07-03,54.8,58.05,40.85,12.1,39.35
2015-06-26,53.75,56.9,40.45,11.55,39.1
2015-06-19,52.75,58.75,40.45,11.55,39.2
2015-06-12,52.75,58.75,40.45,11.55,39.2
2015-06-05,52.75,58.75,40.45,11.55,39.2
2015-05-29,52.75,58.75,40.45,11.55,39.2
2015-05-22,52.85,58.9,40.45,11.55,39.3
2015-05-15,52.85,58.9,40.45,11.55,39.3
2015-05-08,52.85,60.9,40.45,11.55,39.3
2015-05-01,52.85,60.9,40.45,11.55,39.3
2015-04-24,52.88,60.92,40.77,11.55,39.82
2015-04-17,52.88,60.92,40.77,11.55,39.82
2015-04-10,52.88,60.92,40.77,11.55,39.82
2015-04-03,53.06,61.15,40.32,11.55,38.13
2015-03-27,53.06,61.15,40.32,11.55,38.13
2015-03-20,53.06,61.15,40.32,11.55,38.13
2015-03-13,53.06,61.15,40.32,11.55,38.13
2015-03-06,53.06,61.15,40.32,11.55,38.13
2015-02-27,53.06,61.15,40.32,11.55,38.13
